# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,7,0.0,16431,349459286081616,797,18.263999938964844,1027.9725529677069,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,18.263999938964844,0.0,0.0,0.0,66.7128,C,29925471000000,
Raw,1732151041367,20514000000,,33353073.878863223,-1416186238853000192,0.0,138.6420688012597,1412.2564296239898,0.0,0,30,0.0,16431,349459294663459,797,20.38599967956543,872.660673823391,0.14999,16,0.0,0.0,1575420030,,,,0,2.8789321510414765,1,6.0,20.38599967956543,0.0,0.0,0.0,66.7128,C,29925471000000,
Status,1732151041366,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,1732151041366,27,1,1,22,1575420030,0.00,358.0,68.0,0,0,0,0.0
Status,1732151041366,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,1732151041366,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,1732151041366,27,4,1,13,1575420030,21.60,244.0,52.0,1,0,0,16.6
Status,1732151041366,27,5,1,30,1575420030,25.40,126.0,42.0,1,0,0,20.4
Status,1732151041366,27,6,1,15,1575420030,19.70,282.0,31.0,1,0,0,14.700001
Status,1732151041366,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,1732151041366,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,1732151041366,27,9,1,7,1575420030,25.10,128.0,10.0,1,0,0,20.1
Status,1732151041366,27,10,1,21,1575420030,24.80,38.0,8.0,1,0,0,19.8
Status,1732151041366,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,1732151041366,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,1732151041366,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,1732151041366,27,14,3,8,1602000000,0.00,253.0,28.0,0,0,0,0.0
Status,1732151041366,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,1732151041366,27,16,3,11,1602000000,21.10,304.0,23.0,0,0,0,16.1
Status,1732151041366,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,1732151041366,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,1732151041366,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,1732151041366,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,1732151041366,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,1732151041366,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,1732151041366,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,1732151041366,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,1732151041366,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,1732151041366,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Fix,GPS,37.4247716667,-122.1585500000,-0.5,0.0,5.6,0.0,1732151042366,2.0,179.9,29926471000000,62.0,0,,,
Fix,FLP,37.4247927000,-122.1585455000,2.683174423502088,0.15314156,5.575,180.0,1732151042623,2.0,179.9,29926471000000,10.128044,0,,,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,13,0.0,16431,349460296079977,797,16.635000228881836,693.1413581620769,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.635000228881836,0.0,0.0,0.0,66.7128,C,29926471000000,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,21,0.0,16431,349460282624285,487,19.756999969482422,884.7179336656795,0.14999,16,0.0,0.0,1575420030,,,,0,1.7979369265689815,1,6.0,19.756999969482422,0.0,0.0,0.0,66.7128,C,29926471000000,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,11,0.0,17,965104,797,17.0,-54.73377767482694,0.14999,16,0.0,0.0,1602000000,,,,0,0.0,3,6.0,17.0,0.0,0.0,-9.278575228483438,66.7128,C,29926471000000,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,15,0.0,16431,349460291505544,797,14.699999809265137,486.8081030006885,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,14.699999809265137,0.0,0.0,0.0,66.7128,C,29926471000000,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,7,0.0,16431,349460285078172,487,20.1299991607666,1026.5260237205755,0.14999,16,0.0,0.0,1575420030,,,,0,2.404175211945759,1,6.0,20.1299991607666,0.0,0.0,0.0,66.7128,C,29926471000000,
Raw,1732151042365,21514000000,,33353073.878863223,-1416186238851999744,0.0,137.65823897061205,1407.132497702354,0.0,0,30,0.0,16431,349460293660551,797,20.38599967956543,870.4145952332763,0.14999,16,0.0,0.0,1575420030,,,,0,2.8789321510414765,1,6.0,20.38599967956543,0.0,0.0,0.0,66.7128,C,29926471000000,
Status,1732151042366,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,1732151042366,27,1,1,22,1575420030,0.00,358.0,68.0,0,0,0,0.0
Status,1732151042366,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,1732151042366,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,1732151042366,27,4,1,13,1575420030,21.60,244.0,52.0,1,0,0,16.6
Status,1732151042366,27,5,1,30,1575420030,18.90,126.0,42.0,1,0,0,13.9
Status,1732151042366,27,6,1,15,1575420030,19.80,282.0,31.0,1,0,0,14.799999
Status,1732151042366,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,1732151042366,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,1732151042366,27,9,1,7,1575420030,25.20,128.0,10.0,1,0,0,20.2
Status,1732151042366,27,10,1,21,1575420030,24.80,38.0,8.0,1,0,0,19.8
Status,1732151042366,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,1732151042366,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,1732151042366,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,1732151042366,27,14,3,8,1602000000,0.00,253.0,28.0,0,0,0,0.0
Status,1732151042366,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,1732151042366,27,16,3,11,1602000000,21.90,304.0,23.0,0,0,0,16.9
Status,1732151042366,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,1732151042366,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,1732151042366,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,1732151042366,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,1732151042366,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,1732151042366,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,1732151042366,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
